source_file,source_line,name,address,phone,ostomate_detail_marker,coordinates,source_url,license_terms,classification,metadata_scope
藤沢バリアフリー施設.txt,1052,藤沢駅（JR）,藤沢市藤沢75,050-2016-1600,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1053,藤沢駅（小田急）,藤沢市南藤沢1-1,0466-22-2759,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1054,藤沢駅（江ノ電）,藤沢市南藤沢21-1-201,0466-23-2355,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1055,辻堂駅（JR）,藤沢市辻堂神台1-1-19,050-2016-1600,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1056,長後駅（小田急）,藤沢市下土棚472,046-261-1363（大和駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1057,湘南台駅（小田急）,藤沢市湘南台2-15,046-261-1363（大和駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1058,湘南台駅（相鉄）,藤沢市湘南台2-41-17,0466-45-4738,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1059,六会日大前駅（小田急）,藤沢市亀井野1-1-1,0466-22-2759（藤沢駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1060,善行駅（小田急）,藤沢市善行1-27,0466-22-2759（藤沢駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1061,藤沢本町駅（小田急）,藤沢市藤沢3-3-4,0466-22-2759（藤沢駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1062,本鵠沼駅（小田急）,藤沢市本鵠沼2-13-14,0466-22-2759（藤沢駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1063,鵠沼海岸駅（小田急）,藤沢市鵠沼海岸2-4-10,0466-22-2759（藤沢駅）,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1064,片瀬江ノ島駅（小田急）,藤沢市片瀬海岸2-15-3,,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1066,江ノ島駅（江ノ電）,藤沢市片瀬海岸1-4-7,0466-25-3480,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1067,湘南江の島駅（湘南モノレール）,藤沢市片瀬3-15-1,0466-23-0073,true,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1068,目白山下駅（湘南モノレール）,藤沢市片瀬3-2776,なし,false,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1069,石上駅（江ノ電）,藤沢市鵠沼橘1-9-3,0466-23-2355（藤沢駅）,false,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1070,柳小路駅（江ノ電）,藤沢市鵠沼藤が谷4-8-11,0466-23-2355（藤沢駅）,false,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
藤沢バリアフリー施設.txt,1071,鵠沼駅（江ノ電）,藤沢市鵠沼松が岡1-1-1,0466-25-3846,false,UNKNOWN,UNKNOWN_NOT_EMBEDDED_WITH_TABLE,LICENSE_REVIEW_REQUIRED,METADATA_ONLY,ADDRESS_ONLY_LEGACY_DISCOVERY
